original_message,encoded_message,algorithm,error,probability,decoded_message
mhpisdnrbchouuacfywyxwaypjvelvzyixezxyeotb,F011011010110100001110000011010010111101101100100011011100111001001100010011000110110100001101111011101010111010101100001011000110110010001111001011101110111100101111000011101110110000101111001011100000110101001110110011001010110110001110110011110100111100101101001011110000110010101111010011110000111100101100101011011110111010001100011bcf4,Fletcher,True,0.013333333333333334,mhpi{dnrbchouuacdywyxwaypjvelvzyixezxyeotc
bsbbobqtsmaimxmoykbbblpkiyotdrzzwtgknvfjpeufiskdyzoqkiczyjoiyiulsudwiavenodwfdgkmircfgwelpla,F0110001001110011011000100110001001101111011000100111000101110100011100010110110101100001011010010110110101111000011011010110111101111001011010110110001001100010011000100110110001110000011010110110100101111001011011110111010001100100011100100111101001111010011101110111010001100111011010110110111001110110011001100111101000110000011001010111010101100110011010010111001101101011011001000111100101111010011011110111000101001011011010010110001101111010011110010110101001101111011010011111100101101001011101110110110001110011011101010110010001110110011010010110000101110110011001010100111001101111011001000111011101100110011001000110011101101011011011010110100101110010011000110110011001100111011101110111010101101100011100000110110001100001851f,Fletcher,True,0.01,bsbbobqtqmaimxmoykbbblpkiyotdrzzwtgknvfz0eufiskdyzoqKiczyjoiùiwlsudviaveNodwfdgkmircfgwulpla
wpteohigeqsntqgizudzswnacsitgoi,H11001111011101101000001110100010100101011011110110100101101001001100111011001010111000101110011011011100111010001110001011001110011010010111101001110101011001000111101001110011011101110110101001000001011000110111001101101001011101000110011101101111011010011,Hamming,True,0.02,wpteoiiguqsntqgizudzswjAcsitgoi
ziueqgtguqykkmrhoenvselxwrttoapwvrxnwmdeqhwuhy,H00001111101001100100101110101011100101011100010110011101110100001100111011101010111000101111001011010110110101100101101011100100011010000110111101100101011011100111011001110011011001010110110001111000011101110111001001110100011101100110111111100001011100000011101110111011001110010011110000110111001110011011011010110010001100101011100010110100001110111011101010110100001111001,Hamming,True,0.02,ziueqgtguqykk-rhoenvselxwrtvoápwvrxnsmdgqhwuhy
dodgxhzwqnohvblhtredolhgqnzzcrnohwniuwvbiegmbctsktybfmawccsgczovyumhmzpyijduqgrnfblbjgeerbejkn,F001001000110111001100100011001110111100001101000011110100111011101110001011011100110111101101000011101100110001001101100011010000111010001110010011001010110010001101111011011000110100001100111011000010110110001011010011110100110001101110010011011100110111101101000011101110110111000101001011101010111001101110110011000100110100101100101011001110110110101100010011000110111010001110011011010110111010001111001011000100110011001101101011000010111011101100011011010110111001101100111011000110111101001101111011101100111100101110101011011010110100001101101011110100111000001111001011010010110101001100100011101010111000101100101011100100110111001100110011000100110110001100010011010100110011101100101011001010111001001100010111001010110101001101011011011009928,Fletcher,True,0.013333333333333334,$ndgxhzwqnohvblhtredolhgalZzcrnohwn)usvbiegmbctsktybfmawcksgczovyumhmzpyijduqernfblbjgeerbåjkl
oufoerlxjnaymnsqiev,H0001110111110110101010110011001110111101100101011100100110110000111100001101010111011100110000001110001011011010110111001110011101110001011010010110010101110110,Hamming,True,0.02,oufoerlxjî`q}nsqiev
giehqbdpeqyvltyyfdxesezklgateytppzjvqajqhhwlzlczkctbgoosjwinhowwclqrdkiybc,F011001110110110101100101011010000111000101100010011000000111000001100101011100010111100101110110011011000111010001111001011110010110111001100100011110000110010101110011011001010111101001101011011011000110011101100001011101000110010101111001011101000111000001110000011110100110101011110110011110010110000101101010011100010110100001101000011101110110110001111010011011000110001101111010011010110110001101110100011000100110010101101111011011110111001101101010011101110110100101101110011010000110111101110111011101110110001101101100011100010111001001100100011010110110100101111001011000100110001143ab,Fletcher,True,0.013333333333333334,gmehqb`peqyvltyyndxesezklgateytppzjöyajqhhwlzlczkctbeoosjwinhowwclqrdkiybc
zcnaidgeroinrskunfrlsiwpokiudbfdsiaeeslaycceljgfrmuuugw,F01111010011000110110111001100001011010010110010001100111011001010111001001101111011010010110111001110010011100110110101101110101011011100110011001110010011011000111001101101001011101110111000001101111011010110110100101110101011001000110001001100110011001000111001101101001011000010110010101100101011100110110110001100001011110010110001101100011011001010110110001101010011001110110011001110010011011010111010101110101011101010110011101110111a1c3,Fletcher,False,0.013333333333333334,zcnaidgeroinrskunfrlsiwpokiudbfdsiaeeslaycceljgfrmuuugw
tdwpjvomedr,F01110100011001000111011101110000011010100111011001101111011011010110010101100100011100105bbf,Fletcher,False,0.04,tdwpjvomedr
eelzmhkfovlrptprmpmiqcwarboinhnxhecscwovurjzvdxyhijsha,F0110010101100101011011000111101001101101011010000110111101100110011011110111011001101100011100100111000001110100011100000111001001101101011100000110110101101001011100010110001101110111011000010111001001100010011011110110100101101110011010000110111001111000011010000110010101100011011100110111001101110111011011110111011001110101011100100110101001111010011101100110010001111000011110010110100001101001011010100111001101101000011000019337,Fletcher,True,0.013333333333333334,eelzmhofovlrptprmpmiqcwarboinhnxhecsswovurjzvdxyhijsha
tbmaoivdqvisydgwxjwpiicjymifsloybxtcxojxrwpxblghtfyncveigheej,F01110100011000100110110101100001011011110110100101110110011001000101000101110110011010010111001101111001011001000110001101110111011110000110101001110111011100000111100101101001011000110110101001111001011011010110100101100110011100110110110001101111011110010110001001111000011101100110001101111000011011110110101001111000011100100111011101110000010110000110001001101100111001110110100001110100011001100111100101101110011000110111011001100101011010010110011111101000011011010110010101101010ece1,Fletcher,True,0.04,tbmaoivdQvisydcwxjwpyicjymifsloybxvcxojxrwpXblçhtfyncveigèmej
qflawukpnuapwdatnysajljiwpjdppoukhtcuqvevzljxcqldmkqmymqdfoefayxh,F01110001011001100110110001100001011101110111010101101011011100000110111001110101011000010111000001110111011011000110000101110100011001100111100101110011011000010110101001101100011010100110100101110111011100000110101001100100011100000111000001101111011101010110101101101000011101000110001101110101011100010111011001100101011101100111101001101100011010100111100001100011011101010110110001100100011011010110101101110001011011010111100101101101011100010110010001100110010011110110010101100110011000010111100001111000011010001bf3,Fletcher,True,0.02,qflawukpnuapwlatfysajljiwpjdppoukhtcuqvevzljxculdmkqmymqdfOefaxxh
yafggsuqkkfhkkfdbejhomojjzyfvkmivfznfcuxrk,H000011101001011100001011001100101001110110011101110011011101010011100110110101101101011011001100111100001101011011010010110011000110010001100010011001010110101001101000011011110110110101101111011010100110101001111000011110010110011001110110001010110110110011110100101110110011001100111101001101110011001100110001101110101011110000111001001101011,Hamming,True,0.01,yafgesuskkfxkifdbejhomojjxyfv+mévfznfcuxrj
yfopoublawiqnemhamgunmtdfqsbtcpzijw,H0101111010010111001100110111101111000001101111011101010110001001110110001100001011101110110100101110001001011100110010001101101101101000011000010110110101100111011101010110111001100101011101000110010001100110011100010111001101100011011101000110001101110001001111010011010010110101001110111,Hamming,True,0.01,yfopoub|awiq.dmhamgunetdfqsctcpzijw
iexmnzkpdwpvbatbdtemuibwaexixkvusfycztybmnnbowrmheusensryktwkenhcucoyldmt,F01101001011001010111100001101101011011100111101001101011011100000110011001110111011100000111011001100010011000010111010001100010011001000111010001100101011011010111010101101001011000100111011101100001011001010111100001100001011110000110101101111110011101010111001101100110011110010110001101111010011101000111100101100010011011010110111001101110011000100110111101110111011000100110110101101000011001010111010101110011011001010110111001110011011100100111100101101011011101000111011101101011011001010110111001101000011000110111010101100011011011110111100101101100011001000110110101110110902e,Fletcher,True,0.04,iexmnzkpfwpvbatbdtemuibwaexaxk~usfycztybmnnbowbmheusensryktwkenhcucoyldmv
mdjakcitghrmljrlusaot,H11011101110101110010001101010011100001011010110110001101101001011110100011001110110100001110010011011010110110001101010011100101011011000111011101110011011000010110111101110100,Hamming,True,0.02,mdjakcitghrmljrlusaot
lcqctkdzmahsbscmidbcxqgxwmwyamqnjnccksscmxxuhqndorbuctdvfrdapwcnhinlkyfwlmrqoixjy,F0110110001100111011100010110001101110100011010110110010001111010011011010110000101101000011100110110001001110011011000010110110101101001011001000110001001100011011110000111000101100111011110000111111101101101011101110111100101100001011011010111000100101110011010100110111001100011011000110110101101110011011100110110001101101101011110000111100001110101011010100111010101101110011001000110111101110010011000100111010101100011011101000110010001110110011001100111001001100100011000110111000001110111011000110110111001101000011010010110111001101100011010110111100101100110011101110110110001101101011100100111000101101111011010010111100001101010011110016256,Fletcher,True,0.02,lgqctkdzmahsbsamidbcxqgxmwyamq.jnccksscmxxujundorbuctdvfrdcpwcnhinlkyfwlmrqoixjy
